X	Y	Z	X	Y	Z	X	Y	Z
0.194336	-0.029541	-1.01367	-0.00500488	-0.00579834	0.00775146	-3225.29	3000	674.707
0.195313	-0.0288086	-1.01025	-0.00439453	-0.00463867	0.00714111	-3900.29	2925	449.707
0.193115	-0.0266113	-1.00659	-0.00415039	-0.00469971	0.0057373	-3600.29	3225	449.707
0.19751	-0.0307617	-1.0144	-0.00512695	-0.00500488	0.00683594	-3675.29	2850	674.707
0.191406	-0.0256348	-1.01001	-0.00445557	-0.0045166	0.00714111	-3375.29	3000	374.707
0.189209	-0.0336914	-1.01904	-0.00439453	-0.00585938	0.00836182	-3525.29	3000	224.707
0.188477	-0.0310059	-1.00952	-0.0045166	-0.00500488	0.00720215	-3825.29	3150	674.707
0.202393	-0.027832	-1.02075	-0.0055542	-0.00531006	0.00714111	-3675.29	2850	374.707
0.197021	-0.0319824	-1.00586	-0.00506592	-0.00671387	0.00836182	-3525.29	3150	374.707
0.189697	-0.0358887	-1.01074	-0.00494385	-0.0057373	0.00567627	-3675.29	3000	524.707
0.192627	-0.0273438	-1.01611	-0.00476074	-0.00634766	0.00805664	-3975.29	3150	674.707
0.192383	-0.03125	-1.01465	-0.00543213	-0.00506592	0.00714111	-3600.29	2925	599.707
0.187744	-0.0341797	-1.00635	-0.00494385	-0.00628662	0.00811768	-3525.29	3150	374.707
0.188477	-0.0300293	-1.00732	-0.00616455	-0.00488281	0.00787354	-3600.29	3075	599.707
0.199219	-0.027832	-1.01343	-0.00463867	-0.00646973	0.00683594	-3450.29	2925	899.707
0.191406	-0.0297852	-1.01587	-0.00610352	-0.00579834	0.00738525	-3900.29	2775	749.707
0.192139	-0.0341797	-1.01587	-0.00500488	-0.00665283	0.00756836	-3675.29	2850	524.707
0.198975	-0.0280762	-1.0144	-0.00518799	-0.00567627	0.00628662	-3375.29	3000	374.707
0.196533	-0.0273438	-1.00854	-0.00469971	-0.00512695	0.00775146	-3600.29	3075	149.707
0.19043	-0.03125	-1.01465	-0.0057373	-0.00579834	0.00744629	-3750.29	3375	449.707
0.188721	-0.029541	-1.00635	-0.00488281	-0.00646973	0.00683594	-3675.29	3000	74.707
0.197266	-0.0256348	-1.02295	-0.00500488	-0.00585938	0.00805664	-3525.29	2850	224.707
0.192871	-0.0224609	-1.01172	-0.00500488	-0.00604248	0.00750732	-3675.29	3000	824.707
0.189453	-0.027832	-1.01611	-0.00494385	-0.00537109	0.00878906	-3750.29	3075	299.707
0.187744	-0.0246582	-1.00854	-0.00482178	-0.0067749	0.00671387	-3450.29	2775	299.707
0.193359	-0.029541	-1.01563	-0.00500488	-0.00604248	0.00872803	-3750.29	3225	299.707
0.191162	-0.032959	-1.01001	-0.00488281	-0.00543213	0.0067749	-3300.29	3075	599.707
0.185059	-0.0270996	-1.0105	-0.00506592	-0.0055542	0.0065918	-3525.29	3150	674.707
0.187256	-0.0236816	-1.01196	-0.00579834	-0.00592041	0.0067749	-3450.29	3225	299.707
0.197998	-0.0324707	-1.01563	-0.00592041	-0.00506592	0.00750732	-3375.29	3150	224.707
0.190674	-0.0290527	-1.00879	-0.0043335	-0.00671387	0.00683594	-3675.29	2550	524.707
0.186768	-0.0288086	-1.00464	-0.00506592	-0.00518799	0.00726318	-3375.29	3000	374.707
0.200928	-0.0219727	-1.0105	-0.00469971	-0.00683594	0.00750732	-3300.29	2925	299.707
0.189941	-0.0336914	-1.01196	-0.00488281	-0.00500488	0.00927734	-3525.29	3150	224.707
0.189453	-0.0290527	-1.0105	-0.00488281	-0.00524902	0.00683594	-3600.29	2775	149.707
0.187256	-0.0332031	-1.00977	-0.00445557	-0.00482178	0.00799561	-3675.29	2850	524.707
0.197754	-0.0275879	-1.0083	-0.00567627	-0.00543213	0.00628662	-3675.29	2850	374.707
0.196533	-0.0246582	-1.0166	-0.00537109	-0.00469971	0.00836182	-3750.29	2925	299.707
0.191162	-0.0322266	-1.01392	-0.00622559	-0.00549316	0.00836182	-3225.29	2850	374.707
0.193604	-0.0249023	-1.01147	-0.00585938	-0.00531006	0.00646973	-3450.29	3075	-450.586
0.193848	-0.0280762	-1.01221	-0.00567627	-0.00549316	0.00866699	-3450.29	2775	449.707
0.18335	-0.0344238	-1.00659	-0.00537109	-0.00518799	0.00775146	-3525.29	3150	524.707
0.187256	-0.0307617	-1.01953	-0.00439453	-0.00610352	0.00775146	-3375.29	3000	524.707
0.191406	-0.0273438	-1.01685	-0.0045166	-0.00494385	0.0078125	-3900.29	2925	299.707
0.192139	-0.0275879	-1.01685	-0.00427246	-0.00628662	0.00750732	-3450.29	2625	149.707
0.191162	-0.0354004	-1.01099	-0.00494385	-0.0057373	0.00653076	-3450.29	3075	299.707
0.1875	-0.0300293	-1.01416	-0.00567627	-0.00531006	0.00622559	-3675.29	3000	224.707
0.198242	-0.0249023	-1.00537	-0.00561523	-0.00500488	0.0090332	-3750.29	2925	749.707
0.190918	-0.0256348	-1.00513	-0.00378418	-0.00524902	0.00775146	-3600.29	2775	-0.585938
0.190186	-0.0285645	-1.01709	-0.00585938	-0.0057373	0.00811768	-3375.29	2850	374.707
0.195313	-0.0256348	-1.01831	-0.00506592	-0.00488281	0.00708008	-3300.29	2925	449.707
0.19458	-0.0253906	-1.02075	-0.00561523	-0.00646973	0.00878906	-3450.29	2775	449.707
0.19165	-0.0297852	-1.01831	-0.00427246	-0.00531006	0.0088501	-3525.29	2700	374.707
0.190186	-0.0283203	-1.01099	-0.00476074	-0.00537109	0.00567627	-3525.29	3150	674.707
0.193604	-0.0251465	-1.01563	-0.00311279	-0.00567627	0.00793457	-3675.29	2700	524.707
0.194824	-0.0317383	-1.01196	-0.00537109	-0.00567627	0.00708008	-3900.29	3075	299.707
0.186523	-0.0268555	-1.0144	-0.00549316	-0.00494385	0.00811768	-3450.29	3075	299.707
0.187256	-0.0285645	-1.00977	-0.00488281	-0.00561523	0.00701904	-3525.29	3000	74.707
0.198242	-0.026123	-1.01221	-0.00543213	-0.00402832	0.0088501	-3975.29	3300	524.707
0.192383	-0.0234375	-1.01831	-0.00531006	-0.00701904	0.00756836	-3450.29	3075	449.707
0.19043	-0.0310059	-1.01514	-0.0045166	-0.00439453	0.00854492	-3525.29	2850	674.707
0.191895	-0.0300293	-1.01636	-0.00494385	-0.00604248	0.00769043	-3450.29	2925	599.707
0.19458	-0.0205078	-1.00977	-0.00567627	-0.00640869	0.0057373	-3300.29	3375	449.707
0.185059	-0.0249023	-1.01367	-0.00561523	-0.00518799	0.00689697	-3825.29	3450	374.707
0.185547	-0.026123	-1.01294	-0.00500488	-0.00622559	0.0067749	-3600.29	3225	599.707
0.197998	-0.0297852	-1.02173	-0.00500488	-0.00695801	0.00872803	-3600.29	2625	599.707
0.191406	-0.0266113	-1.00439	-0.0055542	-0.00579834	0.00854492	-3300.29	2925	299.707
0.184082	-0.032959	-1.00537	-0.00537109	-0.00512695	0.00720215	-3450.29	2925	299.707
0.189209	-0.0319824	-1.01733	-0.00415039	-0.00695801	0.00701904	-3450.29	2775	-0.585938
0.196777	-0.0300293	-1.0127	-0.00482178	-0.00598145	0.00823975	-3525.29	2850	224.707
0.186768	-0.0258789	-1.02075	-0.00494385	-0.00506592	0.00701904	-3975.29	2700	374.707
0.188721	-0.029541	-1.01123	-0.00592041	-0.00732422	0.0088501	-3750.29	3075	299.707
0.190186	-0.0268555	-1.00586	-0.0055542	-0.0055542	0.00799561	-3525.29	2850	674.707
0.20166	-0.0266113	-1.00757	-0.00512695	-0.00561523	0.00939941	-3975.29	3150	374.707
0.187744	-0.0290527	-1.01953	-0.00421143	-0.00567627	0.00640869	-3900.29	3075	449.707
0.194092	-0.0317383	-1.01245	-0.003479	-0.00598145	0.00695801	-3600.29	3075	299.707
0.192139	-0.0288086	-1.01904	-0.00439453	-0.00537109	0.00671387	-3525.29	2850	224.707
0.194824	-0.0344238	-1.02026	-0.00537109	-0.00592041	0.0067749	-3675.29	3150	524.707
0.183594	-0.0327148	-1.01758	-0.00402832	-0.00567627	0.00817871	-3225.29	3300	674.707
